Actividad económica,cod_municipio,cod_provincia,geocode,municipio,num_casos,Periodo,provincia,Sexo
"Agricultura, ganadería y pesca",38002,38,20220101_38002_D01_S001,Agulo,17.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38002,38,20230101_38002_D01_S001,Agulo,2.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38002,38,20230101_38002_D01_S001,Agulo,11.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38003,38,20210101_38003_D01_S001,Alajeró,1.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38003,38,20210101_38003_D01_S001,Alajeró,20.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38003,38,20220101_38003_D01_S001,Alajeró,2.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38003,38,20220101_38003_D01_S001,Alajeró,23.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38003,38,20230101_38003_D01_S001,Alajeró,1.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38003,38,20230101_38003_D01_S001,Alajeró,22.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20210101_38004_D01_S001,Arafo,5.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38004,38,20210101_38004_D01_S001,Arafo,15.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20210101_38004_D01_S002,Arafo,5.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38004,38,20210101_38004_D01_S002,Arafo,11.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20210101_38004_D01_S003,Arafo,7.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38004,38,20210101_38004_D01_S003,Arafo,15.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20220101_38004_D01_S001,Arafo,6.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38004,38,20220101_38004_D01_S001,Arafo,16.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20220101_38004_D01_S002,Arafo,3.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38004,38,20220101_38004_D01_S002,Arafo,11.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20220101_38004_D01_S003,Arafo,10.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38004,38,20220101_38004_D01_S003,Arafo,13.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20230101_38004_D01_S001,Arafo,5.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38004,38,20230101_38004_D01_S001,Arafo,15.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20230101_38004_D01_S002,Arafo,4.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38004,38,20230101_38004_D01_S002,Arafo,15.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38004,38,20230101_38004_D01_S003,Arafo,11.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38004,38,20230101_38004_D01_S003,Arafo,16.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S001,Arico,14.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S001,Arico,42.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S002,Arico,14.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S002,Arico,23.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S003,Arico,22.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S003,Arico,24.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S004,Arico,12.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S004,Arico,28.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S005,Arico,25.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S005,Arico,47.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S006,Arico,14.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20210101_38005_D01_S006,Arico,19.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S001,Arico,13.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S001,Arico,72.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S002,Arico,17.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S002,Arico,29.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S003,Arico,19.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S003,Arico,20.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S004,Arico,9.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S004,Arico,23.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S005,Arico,21.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S005,Arico,44.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38005,38,20220101_38005_D01_S006,Arico,11.0,2022,Santa Cruz de Tenerife,Mujeres
