Sexo,Nacionalidad,Nivel de estudios en curso,Periodo,Total,Municipio_clean,ISLA_clean
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Puntallana,La Palma
Mujeres,Extranjera,Educación primaria e inferior,2022,0,El Rosario,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2021,0,El Rosario,Tenerife
Mujeres,Española,Educación primaria e inferior,2022,0,San Andrés Y Sauces,La Palma
Mujeres,Española,Educación primaria e inferior,2021,0,San Andrés Y Sauces,La Palma
Mujeres,Extranjera,Educación primaria e inferior,2022,0,San Andrés Y Sauces,La Palma
Mujeres,Extranjera,Educación primaria e inferior,2021,0,San Andrés Y Sauces,La Palma
Mujeres,Española,Educación primaria e inferior,2022,0,San Juan De La Rambla,Tenerife
Mujeres,Española,Educación primaria e inferior,2021,0,San Juan De La Rambla,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2022,0,San Juan De La Rambla,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2021,0,San Juan De La Rambla,Tenerife
Mujeres,Española,Educación primaria e inferior,2021,0,San Miguel De Abona,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2022,0,San Miguel De Abona,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2022,0,San Sebastián De La Gomera,La Gomera
Mujeres,Extranjera,Educación primaria e inferior,2021,0,San Sebastián De La Gomera,La Gomera
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Santa Úrsula,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Santa Úrsula,Tenerife
Mujeres,Española,Educación primaria e inferior,2022,0,Santiago Del Teide,Tenerife
Mujeres,Española,Educación primaria e inferior,2021,0,Santiago Del Teide,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Santiago Del Teide,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2022,0,El Sauzal,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Los Silos,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Los Silos,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Tacoronte,Tenerife
Mujeres,Española,Educación primaria e inferior,2021,0,El Tanque,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2022,0,El Tanque,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2021,0,El Tanque,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Tegueste,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Tijarafe,La Palma
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Vallehermoso,La Gomera
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Vallehermoso,La Gomera
Mujeres,Extranjera,Educación primaria e inferior,2021,0,La Victoria De Acentejo,Tenerife
Mujeres,Española,Educación primaria e inferior,2021,0,Vilaflor De Chasna,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Vilaflor De Chasna,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Vilaflor De Chasna,Tenerife
Mujeres,Española,Educación primaria e inferior,2022,0,El Pinar De El Hierro,El Hierro
Mujeres,Española,Educación primaria e inferior,2021,0,El Pinar De El Hierro,El Hierro
Mujeres,Extranjera,Educación primaria e inferior,2021,0,El Pinar De El Hierro,El Hierro
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Agaete,Gran Canaria
Mujeres,Española,Educación primaria e inferior,2023,0,Artenara,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Artenara,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Arucas,Gran Canaria
Mujeres,Española,Educación primaria e inferior,2023,0,Betancuria,Fuerteventura
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Betancuria,Fuerteventura
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Firgas,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Haría,Lanzarote
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Moya,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2023,0,La Aldea De San Nicolás,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Santa Brígida,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Teguise,Lanzarote
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Tejeda,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Teror,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Valsequillo De Gran Canaria,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Valleseco,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Vega De San Mateo,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Agulo,La Gomera
Mujeres,Española,Educación primaria e inferior,2023,0,Alajeró,La Gomera
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Alajeró,La Gomera
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Arafo,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Arico,Tenerife
Mujeres,Española,Educación primaria e inferior,2023,0,Barlovento,La Palma
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Barlovento,La Palma
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Breña Alta,La Palma
Mujeres,Extranjera,Educación primaria e inferior,2023,0,Buenavista Del Norte,Tenerife
