TERRITORIO	TIME_PERIOD	MEDIDAS	OBS_VALUE	ESTADO_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
Tinajo	2016	Índice de Gini	28.6		
Tinajo	2015	Índice de Gini	28.9		
Tinajo	2023	Distribución de la renta P80/P20	2.1		
Tinajo	2022	Distribución de la renta P80/P20	2.1		
Tinajo	2021	Distribución de la renta P80/P20	2.2		
Tinajo	2020	Distribución de la renta P80/P20	2.2		
Tinajo	2019	Distribución de la renta P80/P20	2.1		
Tinajo	2018	Distribución de la renta P80/P20	2.2		
Tinajo	2017	Distribución de la renta P80/P20	2.3		
Tinajo	2016	Distribución de la renta P80/P20	2.3		
Tinajo	2015	Distribución de la renta P80/P20	2.5		
Yaiza	2023	Índice de Gini	29.7		
Yaiza	2022	Índice de Gini	30.5		
Yaiza	2021	Índice de Gini	32.2		
Yaiza	2020	Índice de Gini	32.1		
Yaiza	2019	Índice de Gini	30.5		
Yaiza	2018	Índice de Gini	31		
Yaiza	2017	Índice de Gini	31.3		
Yaiza	2016	Índice de Gini	33.1		
Yaiza	2015	Índice de Gini	33.1		
Yaiza	2023	Distribución de la renta P80/P20	2.3		
Yaiza	2022	Distribución de la renta P80/P20	2.5		
Yaiza	2021	Distribución de la renta P80/P20	2.7		
Yaiza	2020	Distribución de la renta P80/P20	2.7		
Yaiza	2019	Distribución de la renta P80/P20	2.5		
Yaiza	2018	Distribución de la renta P80/P20	2.7		
Yaiza	2017	Distribución de la renta P80/P20	2.6		
Yaiza	2016	Distribución de la renta P80/P20	2.6		
Yaiza	2015	Distribución de la renta P80/P20	2.9		
Fuerteventura	2023	Índice de Gini	30.5		
Fuerteventura	2022	Índice de Gini	31.4		
Fuerteventura	2021	Índice de Gini	32.8		
Fuerteventura	2020	Índice de Gini	32.9		
Fuerteventura	2019	Índice de Gini	31.6		
Fuerteventura	2018	Índice de Gini	31.5		
Fuerteventura	2017	Índice de Gini	31.8		
Fuerteventura	2016	Índice de Gini	33.6		
Fuerteventura	2015	Índice de Gini	33.8		
Fuerteventura	2023	Distribución de la renta P80/P20	2.6		
Fuerteventura	2022	Distribución de la renta P80/P20	2.6		
Fuerteventura	2021	Distribución de la renta P80/P20	2.8		
Fuerteventura	2020	Distribución de la renta P80/P20	2.9		
Fuerteventura	2019	Distribución de la renta P80/P20	2.5		
Fuerteventura	2018	Distribución de la renta P80/P20	2.7		
Fuerteventura	2017	Distribución de la renta P80/P20	2.6		
Fuerteventura	2016	Distribución de la renta P80/P20	3		
Fuerteventura	2015	Distribución de la renta P80/P20	3		
Antigua	2023	Índice de Gini	34.3		
Antigua	2022	Índice de Gini	35.4		
Antigua	2021	Índice de Gini	36.8		
Antigua	2020	Índice de Gini	37		
Antigua	2019	Índice de Gini	36.6		
Antigua	2018	Índice de Gini	36.9		
Antigua	2017	Índice de Gini	37.3		
Antigua	2016	Índice de Gini	38.2		
Antigua	2015	Índice de Gini	38.1		
Antigua	2023	Distribución de la renta P80/P20	3		
Antigua	2022	Distribución de la renta P80/P20	3.1		
Antigua	2021	Distribución de la renta P80/P20	3.3		
Antigua	2020	Distribución de la renta P80/P20	3.5		
Antigua	2019	Distribución de la renta P80/P20	3.2		
Antigua	2018	Distribución de la renta P80/P20	3.5		
